ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-11-04 21:00:00+00:00,32,2,773,250.2,250.2,250.05,250.2,3343663,AMD
2025-11-04 21:00:01+00:00,32,2,773,250.05,250.2,250.05,250.2,1039,AMD
2025-11-04 21:00:03+00:00,32,2,773,250.17,250.2,250.17,250.2,509,AMD
2025-11-04 21:00:05+00:00,32,2,773,250.19,250.19,250.19,250.19,1,AMD
2025-11-04 21:00:06+00:00,32,2,773,250.06,250.19,250.06,250.19,77,AMD
2025-11-04 21:00:08+00:00,32,2,773,250.1,250.1,250.1,250.1,31,AMD
2025-11-04 21:00:09+00:00,32,2,773,250.1,250.1,250.1,250.1,12,AMD
2025-11-04 21:00:11+00:00,32,2,773,250.1,250.1,250.1,250.1,442,AMD
2025-11-04 21:00:12+00:00,32,2,773,250.1,250.1,250.1,250.1,15,AMD
2025-11-04 21:00:13+00:00,32,2,773,250.28,250.28,250.28,250.28,1,AMD
2025-11-04 21:00:14+00:00,32,2,773,250.28,250.28,250.28,250.28,4,AMD
2025-11-04 21:00:17+00:00,32,2,773,250.21,250.21,250.21,250.21,37,AMD
2025-11-04 21:00:18+00:00,32,2,773,250.28,250.3,250.28,250.3,13,AMD
2025-11-04 21:00:21+00:00,32,2,773,250.21,250.21,250.2,250.21,203,AMD
2025-11-04 21:00:22+00:00,32,2,773,250.21,250.21,250.0,250.02,8206,AMD
2025-11-04 21:00:23+00:00,32,2,773,250.02,250.02,250.02,250.02,72,AMD
2025-11-04 21:00:24+00:00,32,2,773,250.02,250.02,250.02,250.02,132,AMD
2025-11-04 21:00:25+00:00,32,2,773,250.04,250.04,250.04,250.04,38,AMD
2025-11-04 21:00:26+00:00,32,2,773,250.02,250.02,250.02,250.02,47,AMD
2025-11-04 21:00:27+00:00,32,2,773,250.04,250.04,250.0,250.0,1104,AMD
2025-11-04 21:00:28+00:00,32,2,773,250.02,250.02,250.02,250.02,355,AMD
2025-11-04 21:00:29+00:00,32,2,773,250.08,250.08,250.08,250.08,10,AMD
2025-11-04 21:00:31+00:00,32,2,773,250.08,250.08,250.08,250.08,1,AMD
2025-11-04 21:00:32+00:00,32,2,773,250.11,250.11,250.11,250.11,10,AMD
2025-11-04 21:00:33+00:00,32,2,773,250.1,250.11,250.1,250.11,73,AMD
2025-11-04 21:00:34+00:00,32,2,773,250.11,250.11,250.0,250.0,1050,AMD
2025-11-04 21:00:46+00:00,32,2,773,250.14,250.14,250.14,250.14,1,AMD
