ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2026-01-28 20:30:02+00:00,32,2,10451,671.13,671.13,671.0,671.11,1235,META
2026-01-28 20:30:03+00:00,32,2,10451,671.07,671.07,671.07,671.07,78,META
2026-01-28 20:30:04+00:00,32,2,10451,671.12,671.2,671.1,671.12,623,META
2026-01-28 20:30:05+00:00,32,2,10451,671.16,671.16,671.16,671.16,3,META
2026-01-28 20:30:06+00:00,32,2,10451,671.09,671.11,671.06,671.11,124,META
2026-01-28 20:30:07+00:00,32,2,10451,671.04,671.07,671.03,671.03,112,META
2026-01-28 20:30:08+00:00,32,2,10451,671.01,671.02,670.99,671.02,656,META
2026-01-28 20:30:10+00:00,32,2,10451,670.96,670.96,670.9,670.94,138,META
2026-01-28 20:30:11+00:00,32,2,10451,670.95,671.0,670.925,671.0,317,META
2026-01-28 20:30:13+00:00,32,2,10451,671.03,671.03,671.03,671.03,2,META
2026-01-28 20:30:15+00:00,32,2,10451,670.96,671.03,670.94,671.03,75,META
2026-01-28 20:30:17+00:00,32,2,10451,670.97,670.97,670.97,670.97,1,META
2026-01-28 20:30:18+00:00,32,2,10451,671.03,671.12,671.03,671.05,779,META
2026-01-28 20:30:19+00:00,32,2,10451,671.075,671.11,671.075,671.11,197,META
2026-01-28 20:30:20+00:00,32,2,10451,671.14,671.15,671.14,671.15,139,META
2026-01-28 20:30:21+00:00,32,2,10451,671.11,671.11,671.11,671.11,12,META
2026-01-28 20:30:22+00:00,32,2,10451,671.15,671.17,671.06,671.11,760,META
2026-01-28 20:30:23+00:00,32,2,10451,671.105,671.18,671.105,671.18,681,META
2026-01-28 20:30:29+00:00,32,2,10451,671.08,671.08,671.07,671.07,11,META
2026-01-28 20:30:30+00:00,32,2,10451,671.125,671.125,671.125,671.125,1,META
2026-01-28 20:30:33+00:00,32,2,10451,671.125,671.125,671.125,671.125,3,META
2026-01-28 20:30:34+00:00,32,2,10451,671.08,671.08,671.06,671.06,89,META
2026-01-28 20:30:35+00:00,32,2,10451,671.01,671.01,670.98,670.98,201,META
2026-01-28 20:30:36+00:00,32,2,10451,671.06,671.105,671.06,671.105,272,META
2026-01-28 20:30:42+00:00,32,2,10451,671.18,671.19,671.18,671.19,358,META
2026-01-28 20:30:44+00:00,32,2,10451,671.15,671.15,671.15,671.15,1,META
2026-01-28 20:30:45+00:00,32,2,10451,671.125,671.125,671.09,671.09,40,META
2026-01-28 20:30:46+00:00,32,2,10451,671.125,671.125,671.125,671.125,2,META
2026-01-28 20:30:47+00:00,32,2,10451,671.125,671.14,671.12,671.14,165,META
2026-01-28 20:30:48+00:00,32,2,10451,671.09,671.09,671.09,671.09,35,META
2026-01-28 20:30:50+00:00,32,2,10451,671.18,671.19,671.18,671.19,487,META
2026-01-28 20:30:52+00:00,32,2,10451,671.19,671.2,671.19,671.2,85,META
2026-01-28 20:30:54+00:00,32,2,10451,671.16,671.16,671.16,671.16,40,META
2026-01-28 20:30:55+00:00,32,2,10451,671.21,671.21,671.21,671.21,240,META
2026-01-28 20:30:57+00:00,32,2,10451,671.18,671.18,671.15,671.15,190,META
2026-01-28 20:30:59+00:00,32,2,10451,671.14,671.14,671.08,671.08,345,META
2026-01-28 20:31:00+00:00,32,2,10451,671.08,671.08,671.06,671.06,27,META
2026-01-28 20:31:01+00:00,32,2,10451,671.06,671.06,671.03,671.03,101,META
2026-01-28 20:31:05+00:00,32,2,10451,671.095,671.095,671.095,671.095,1,META
2026-01-28 20:31:07+00:00,32,2,10451,671.06,671.06,671.04,671.04,150,META
2026-01-28 20:31:08+00:00,32,2,10451,671.05,671.05,670.93,670.94,387,META
2026-01-28 20:31:11+00:00,32,2,10451,670.9,670.91,670.83,670.83,149,META
2026-01-28 20:31:12+00:00,32,2,10451,670.86,670.86,670.86,670.86,40,META
2026-01-28 20:31:14+00:00,32,2,10451,670.83,670.83,670.83,670.83,95,META
2026-01-28 20:31:16+00:00,32,2,10451,670.875,670.88,670.875,670.875,100,META
2026-01-28 20:31:17+00:00,32,2,10451,670.89,670.89,670.89,670.89,20,META
2026-01-28 20:31:20+00:00,32,2,10451,670.89,670.94,670.89,670.89,508,META
2026-01-28 20:31:21+00:00,32,2,10451,670.84,670.84,670.8,670.83,255,META
2026-01-28 20:31:22+00:00,32,2,10451,670.78,670.78,670.7,670.7,359,META
2026-01-28 20:31:23+00:00,32,2,10451,670.68,670.68,670.64,670.64,67,META
2026-01-28 20:31:25+00:00,32,2,10451,670.68,670.68,670.68,670.68,35,META
2026-01-28 20:31:27+00:00,32,2,10451,670.72,670.72,670.72,670.72,2,META
2026-01-28 20:31:28+00:00,32,2,10451,670.65,670.65,670.61,670.61,442,META
2026-01-28 20:31:29+00:00,32,2,10451,670.62,670.62,670.26,670.27,4798,META
2026-01-28 20:31:30+00:00,32,2,10451,670.39,670.39,670.39,670.39,50,META
2026-01-28 20:31:31+00:00,32,2,10451,670.51,670.52,670.47,670.47,925,META
2026-01-28 20:31:33+00:00,32,2,10451,670.46,670.48,670.46,670.48,43,META
2026-01-28 20:31:34+00:00,32,2,10451,670.47,670.5,670.47,670.5,2,META
2026-01-28 20:31:36+00:00,32,2,10451,670.52,670.52,670.52,670.52,3,META
2026-01-28 20:31:37+00:00,32,2,10451,670.5,670.52,670.4,670.47,189,META
2026-01-28 20:31:38+00:00,32,2,10451,670.42,670.42,670.39,670.39,109,META
2026-01-28 20:31:39+00:00,32,2,10451,670.45,670.49,670.45,670.49,289,META
2026-01-28 20:31:42+00:00,32,2,10451,670.5,670.5,670.47,670.47,11,META
2026-01-28 20:31:44+00:00,32,2,10451,670.45,670.54,670.45,670.54,308,META
2026-01-28 20:31:46+00:00,32,2,10451,670.52,670.56,670.52,670.56,274,META
2026-01-28 20:31:47+00:00,32,2,10451,670.49,670.49,670.49,670.49,81,META
2026-01-28 20:31:48+00:00,32,2,10451,670.44,670.54,670.42,670.54,216,META
2026-01-28 20:31:50+00:00,32,2,10451,670.53,670.55,670.49,670.49,99,META
2026-01-28 20:31:52+00:00,32,2,10451,670.43,670.43,670.39,670.39,44,META
2026-01-28 20:31:53+00:00,32,2,10451,670.45,670.45,670.45,670.45,10,META
2026-01-28 20:31:54+00:00,32,2,10451,670.42,670.42,670.42,670.42,2,META
2026-01-28 20:31:56+00:00,32,2,10451,670.4,670.41,670.4,670.41,97,META
2026-01-28 20:31:57+00:00,32,2,10451,670.41,670.41,670.38,670.38,171,META
2026-01-28 20:31:58+00:00,32,2,10451,670.43,670.43,670.43,670.43,17,META
2026-01-28 20:32:05+00:00,32,2,10451,670.42,670.42,670.42,670.42,1,META
2026-01-28 20:32:07+00:00,32,2,10451,670.425,670.425,670.39,670.39,486,META
2026-01-28 20:32:08+00:00,32,2,10451,670.425,670.425,670.425,670.425,40,META
2026-01-28 20:32:10+00:00,32,2,10451,670.42,670.42,670.42,670.42,20,META
2026-01-28 20:32:12+00:00,32,2,10451,670.46,670.48,670.46,670.48,777,META
2026-01-28 20:32:13+00:00,32,2,10451,670.47,670.47,670.46,670.46,101,META
2026-01-28 20:32:14+00:00,32,2,10451,670.49,670.52,670.49,670.52,201,META
2026-01-28 20:32:16+00:00,32,2,10451,670.51,670.51,670.5,670.5,43,META
2026-01-28 20:32:19+00:00,32,2,10451,670.5,670.53,670.5,670.53,145,META
2026-01-28 20:32:20+00:00,32,2,10451,670.56,670.59,670.56,670.59,158,META
2026-01-28 20:32:21+00:00,32,2,10451,670.6,670.6,670.55,670.555,302,META
2026-01-28 20:32:23+00:00,32,2,10451,670.53,670.575,670.53,670.575,341,META
2026-01-28 20:32:24+00:00,32,2,10451,670.575,670.575,670.575,670.575,1,META
2026-01-28 20:32:28+00:00,32,2,10451,670.55,670.55,670.54,670.54,82,META
2026-01-28 20:32:29+00:00,32,2,10451,670.57,670.57,670.57,670.57,1,META
2026-01-28 20:32:31+00:00,32,2,10451,670.58,670.58,670.58,670.58,40,META
2026-01-28 20:32:33+00:00,32,2,10451,670.6,670.6,670.58,670.58,211,META
2026-01-28 20:32:34+00:00,32,2,10451,670.58,670.58,670.55,670.55,107,META
2026-01-28 20:32:35+00:00,32,2,10451,670.61,670.61,670.61,670.61,30,META
2026-01-28 20:32:36+00:00,32,2,10451,670.59,670.63,670.57,670.63,913,META
2026-01-28 20:32:37+00:00,32,2,10451,670.63,670.65,670.63,670.64,146,META
2026-01-28 20:32:38+00:00,32,2,10451,670.66,670.67,670.66,670.67,42,META
2026-01-28 20:32:39+00:00,32,2,10451,670.71,670.71,670.71,670.71,40,META
2026-01-28 20:32:41+00:00,32,2,10451,670.72,670.72,670.72,670.72,109,META
2026-01-28 20:32:42+00:00,32,2,10451,670.73,670.73,670.64,670.64,127,META
2026-01-28 20:32:45+00:00,32,2,10451,670.69,670.69,670.69,670.69,20,META
2026-01-28 20:32:51+00:00,32,2,10451,670.75,670.75,670.75,670.75,40,META
2026-01-28 20:32:52+00:00,32,2,10451,670.75,670.78,670.74,670.75,409,META
2026-01-28 20:32:53+00:00,32,2,10451,670.75,670.75,670.75,670.75,5,META
2026-01-28 20:32:54+00:00,32,2,10451,670.75,670.75,670.75,670.75,1,META
2026-01-28 20:32:56+00:00,32,2,10451,670.76,670.76,670.76,670.76,45,META
2026-01-28 20:32:57+00:00,32,2,10451,670.79,670.79,670.79,670.79,90,META
2026-01-28 20:32:58+00:00,32,2,10451,670.77,670.82,670.77,670.8,146,META
2026-01-28 20:33:00+00:00,32,2,10451,670.81,670.81,670.8,670.8,329,META
2026-01-28 20:33:01+00:00,32,2,10451,670.8,670.8,670.8,670.8,146,META
2026-01-28 20:33:02+00:00,32,2,10451,670.805,670.805,670.805,670.805,80,META
2026-01-28 20:33:03+00:00,32,2,10451,670.805,670.805,670.805,670.805,40,META
2026-01-28 20:33:04+00:00,32,2,10451,670.805,670.805,670.805,670.805,5,META
2026-01-28 20:33:06+00:00,32,2,10451,670.85,670.85,670.81,670.81,13,META
2026-01-28 20:33:08+00:00,32,2,10451,670.84,670.9,670.84,670.9,137,META
2026-01-28 20:33:10+00:00,32,2,10451,670.9,670.9,670.9,670.9,4,META
2026-01-28 20:33:11+00:00,32,2,10451,670.94,670.94,670.94,670.94,31,META
2026-01-28 20:33:13+00:00,32,2,10451,670.91,670.91,670.89,670.89,71,META
2026-01-28 20:33:17+00:00,32,2,10451,670.93,670.96,670.93,670.96,61,META
2026-01-28 20:33:18+00:00,32,2,10451,670.96,671.03,670.96,671.01,636,META
2026-01-28 20:33:21+00:00,32,2,10451,671.07,671.1,671.07,671.1,128,META
2026-01-28 20:33:23+00:00,32,2,10451,671.11,671.11,671.11,671.11,80,META
2026-01-28 20:33:24+00:00,32,2,10451,671.09,671.09,671.09,671.09,1,META
2026-01-28 20:33:25+00:00,32,2,10451,671.08,671.08,671.08,671.08,20,META
2026-01-28 20:33:26+00:00,32,2,10451,671.065,671.065,671.065,671.065,1,META
2026-01-28 20:33:27+00:00,32,2,10451,671.065,671.09,671.065,671.09,45,META
2026-01-28 20:33:29+00:00,32,2,10451,671.09,671.09,671.09,671.09,81,META
2026-01-28 20:33:32+00:00,32,2,10451,671.07,671.07,671.07,671.07,40,META
2026-01-28 20:33:33+00:00,32,2,10451,671.09,671.09,671.09,671.09,100,META
2026-01-28 20:33:35+00:00,32,2,10451,671.09,671.09,671.08,671.08,47,META
2026-01-28 20:33:37+00:00,32,2,10451,671.115,671.115,671.115,671.115,40,META
2026-01-28 20:33:38+00:00,32,2,10451,671.115,671.12,671.115,671.12,54,META
2026-01-28 20:33:39+00:00,32,2,10451,671.07,671.08,671.06,671.08,123,META
2026-01-28 20:33:40+00:00,32,2,10451,671.05,671.07,671.05,671.07,10,META
2026-01-28 20:33:42+00:00,32,2,10451,671.05,671.05,670.99,670.99,619,META
2026-01-28 20:33:46+00:00,32,2,10451,671.03,671.05,671.03,671.05,104,META
2026-01-28 20:33:47+00:00,32,2,10451,671.025,671.025,671.025,671.025,200,META
2026-01-28 20:33:49+00:00,32,2,10451,671.05,671.05,671.05,671.05,100,META
2026-01-28 20:33:51+00:00,32,2,10451,671.09,671.11,671.09,671.11,328,META
2026-01-28 20:33:53+00:00,32,2,10451,671.115,671.12,671.115,671.12,80,META
2026-01-28 20:33:54+00:00,32,2,10451,671.15,671.18,671.15,671.175,433,META
2026-01-28 20:33:55+00:00,32,2,10451,671.21,671.22,671.21,671.22,117,META
2026-01-28 20:33:56+00:00,32,2,10451,671.19,671.2,671.18,671.2,351,META
2026-01-28 20:33:57+00:00,32,2,10451,671.15,671.15,671.13,671.135,206,META
2026-01-28 20:33:58+00:00,32,2,10451,671.12,671.14,671.12,671.14,170,META
2026-01-28 20:33:59+00:00,32,2,10451,671.1,671.1,671.1,671.1,1,META
2026-01-28 20:34:00+00:00,32,2,10451,671.1,671.1,671.1,671.1,1,META
