event_id,ticker,company,quarter,fiscal_year,call_date,call_start_ts,CR_0_5,CR_0_30,CR_0_120,RV_pre,RV_0_30,RV_0_120,VOL_pre_mean,VOL_post_mean,VOL_ratio,max_runup_0_120,max_drawdown_0_120,time_to_max_abs_move,word_count_total,word_count_prepared,word_count_qa,qa_ratio,num_questions,num_analyst_turns,speaker_count,pos_count,neg_count,uncertainty_count,tone,uncertainty_rate,has_qa,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,fiscal_year_z,CR_0_5_z,CR_0_30_z,CR_0_120_z,RV_pre_z,RV_0_30_z,RV_0_120_z,VOL_pre_mean_z,VOL_post_mean_z,VOL_ratio_z,max_runup_0_120_z,max_drawdown_0_120_z,time_to_max_abs_move_z,word_count_total_z,word_count_prepared_z,word_count_qa_z,qa_ratio_z,num_questions_z,num_analyst_turns_z,speaker_count_z,pos_count_z,neg_count_z,uncertainty_count_z,tone_z,uncertainty_rate_z,topic_1_z,topic_2_z,topic_3_z,topic_4_z,topic_5_z,topic_6_z,topic_7_z,topic_8_z,topic_9_z,topic_10_z,topic_11_z,topic_12_z,topic_13_z,topic_14_z,topic_15_z,topic_16_z,topic_17_z,topic_18_z,topic_19_z,topic_20_z,ticker_AAPL,ticker_AMD,ticker_AMZN,ticker_AVGO,ticker_GOOGL,ticker_META,ticker_MSFT,ticker_MU,ticker_NVDA,ticker_ORCL
AAPL_2025-01-30,AAPL,Apple Inc.,Q1,2025,2025-01-30,2025-01-30 22:00:00+00:00,0.0031574033142764565,0.05738156083064535,0.04495702323663836,0.01866908301600601,0.031352545168953326,0.03458894806058353,90026.23333333334,11489.658333333333,0.12762566985104712,0.05738156083064535,-0.0025673955052458097,30.0,8376,3130,5246,0.626313276026743,27,20,15,197,14,88,0.02184813753581662,0.010506208213944603,1,0.35112846432540634,-0.0029032763755973564,0.7923332965713683,0.2998954732039394,0.04587350948418811,-0.01723801580721216,0.004721564061725769,-0.05072614581622515,-0.06900480202992074,-0.0009332433019738006,0.00646830499748661,-0.0016468626100346758,0.0070804025869506855,0.03254895609285266,-0.006008255087388525,0.02771521952502428,0.018377174395995413,-0.03672218245078815,-0.06299906308646877,-0.09985014018204187,-0.15294382258023542,0.2502889807270459,1.9421122793362102,1.5978871851414038,-1.0390448053305121,1.2129251252509916,0.7452946494410582,-0.30820372251433176,-0.08472224112670992,-0.338476401320692,1.4602233074257183,0.8116897250880273,-0.4339045028147077,-0.1068226495003687,-0.08630960827051455,-0.03657438116034685,-0.04014276541817473,-0.11655092034125217,1.4357509124802572,1.1214296958515242,-0.010278780598113539,-0.399165586276163,-0.011181905232766045,0.18479303546700537,0.044449062479111276,-1.4598311374571034,-0.08247524140325016,2.787113277925806,1.1060060443313957,0.17454965152847207,-0.14375493519193622,0.054932908848391214,-0.2541925715706322,-0.2802737295573479,0.00611872222799793,0.05709114742844181,-0.018770206966714092,0.07119165336483267,0.3305098948771928,-0.058378343026509315,0.319364066057914,0.22098861972824807,-0.45252485825470706,-0.7778902913800516,-1.2363079440965024,1,0,0,0,0,0,0,0,0,0
AAPL_2025-05-01,AAPL,Apple Inc.,Q2,2025,2025-05-01,2025-05-01 21:00:00+00:00,-0.003275690582598655,-0.0035169742126750655,-0.016633509115146577,0.017644283938420102,0.017022291628973597,0.019385572328264544,127172.4,6871.235294117647,0.05403086907314517,0.006376013354898184,-0.01981705533274068,101.0,8651,3176,5475,0.6328748121604438,41,20,14,139,39,107,0.011559357299734134,0.012368512310715524,1,0.3758168088356948,0.002165298366285936,0.7774468164661616,0.29428387869970374,0.0425926106093826,-0.017637597501333,-0.0027589565438511186,-0.04870660402673576,-0.05451234753674076,0.005707970795415375,0.0022479060639547664,0.0036402661189352927,-0.01787251539472615,-0.05285989674837018,-0.02089175101194363,-0.039149557800551446,-0.011092998182583764,0.112880068427758,0.13479604912121662,0.19533032550520166,-0.15294382258023542,-0.7162062036469079,-0.29836152892208745,-0.4515917485203739,-1.0822063267074704,-0.3769967107111789,-0.665665910116627,-0.2546646637375388,-0.5665324134202625,-0.5829677342388719,-0.6288378028375371,-0.03535889333421718,1.9237908823774534,0.11398484157450502,-0.049128095061639655,0.28237205013132716,0.01369359651552721,1.1386128371799242,1.4357509124802572,0.6764179117834589,-0.8869983022019067,2.7789043681518857,0.9545280921424882,-1.5918022713474622,0.9748174453447933,-1.0760764945021695,-0.06480057865347062,2.733451161386212,1.0849279481427905,0.1619778861574074,-0.14534920540773869,0.024770148015019502,-0.2459120061796246,-0.21888994402110704,0.03467233386924416,0.018162826131591016,0.03207067624460713,-0.186208606336501,-0.5586754717087664,-0.222251550466902,-0.45722556969243766,-0.13326526825464685,1.3695670077598727,1.6719585660950014,2.4377977556051897,1,0,0,0,0,0,0,0,0,0
AAPL_2025-07-31,AAPL,Apple Inc.,Q3,2025,2025-07-31,2025-07-31 21:00:00+00:00,-0.0019518703680849899,0.016321886941885723,0.009419965043771964,0.020945645472579075,0.022208930605225122,0.027908426639239904,235105.6,16273.825,0.06921921468480546,0.022293167979977994,-0.0054366102717729745,26.0,8886,3453,5433,0.611411208642809,38,19,14,200,32,99,0.018906144496961513,0.01114112086428089,1,0.35807006357429205,-0.010385318768116781,0.7740501685061908,0.2934770709890659,0.04071412422483019,-0.021207958197942384,0.004402878150592024,-0.0556141328294882,-0.07468301391294024,-0.0009148621059490743,-0.011726912682209968,-0.0010828836477099072,-0.03360464274426421,-0.04897466682127591,-0.03877986050137916,-0.04072691427107031,-0.012143997976666033,0.10749757366797627,0.1400247062890656,0.2275032494721461,-0.15294382258023542,-0.517318097423889,0.43151561460604243,0.4153604338771468,-0.943162694110401,0.19845371942869436,0.12530390470410913,-0.09909970354602472,0.4143788906611634,-0.5325101091870241,0.023089494465020476,0.6707962565646834,-0.5667324118396182,0.3026748794021244,0.17476927795702007,0.2238753247415878,-0.16241186169295133,0.8696491748539579,1.2571749283409217,0.6764179117834589,0.03506878086415162,1.889044780912032,0.5479133564055391,-0.32320994502049755,0.3616382136916147,-1.3519311954345734,-0.10856592422865487,2.7212070769966337,1.0818974421934213,0.15477989225985622,-0.1595944018269587,0.05364791179734025,-0.2742343930889451,-0.30432418564955976,0.006197751382169903,-0.11073878785888878,-0.013347000907802458,-0.3484923788555748,-0.5182266249900731,-0.41920674781690564,-0.4755455093659698,-0.145899085119143,1.3040105080209319,1.7367196193172552,2.8382535345735205,1,0,0,0,0,0,0,0,0,0
AAPL_2025-10-30,AAPL,Apple Inc.,Q4,2025,2025-10-30,2025-10-30 21:00:00+00:00,-0.00021191678813454342,-0.005524484622101211,-0.019614765299332208,0.05240755240596706,0.008251166590476549,0.013677136513268401,172266.53333333333,7565.341666666666,0.04391649103443578,0.005353633525081899,-0.019614765299332208,119.0,8726,3658,5068,0.5807930323172129,49,24,15,237,21,79,0.02475360990144396,0.009053403621361448,1,0.35404406324311244,-0.002468582662460362,0.7891307550298594,0.2960061671620537,0.04171373955514198,-0.015660336781329276,0.0058337797878410605,-0.04172120260701048,-0.08022965442601193,0.0040169690720613035,-0.009193567839886722,-0.008635399379203464,0.01878626577527334,0.0472241903975208,0.02568751859553265,0.016072931177404902,0.009784567758482429,-0.09718572948159533,-0.08554205406705907,-0.13487172409911277,-0.15294382258023542,-0.2559109451245582,-0.37221838753002706,-0.550795660420971,0.3819202400625798,-1.3501409182267647,-1.1954415292644376,-0.18967013881961894,-0.49412078977551965,-0.6165689906073102,-0.6707119527699995,-0.025425393483622154,2.5215164729895507,0.17420506641310696,0.3404694998661365,-0.2844890744787659,-0.4136291359450076,1.855849270049168,2.1500548490375992,1.1214296958515242,0.5943553722320886,0.49069400096369065,-0.46862348293683387,0.6864898790588426,-0.6813418874334521,-1.4145111841002542,-0.08095941788867157,2.775568899657149,1.0913971543276877,0.15861022348112686,-0.13746023571478583,0.059417556202603444,-0.21727032441819036,-0.32781736217540236,0.027401945385260196,-0.08737159828016575,-0.08597178270148047,0.19194275056777604,0.48329269385927964,0.29060472668063964,0.18414667913452987,0.11769895282418814,-1.1889451767208032,-1.0571030589831316,-1.6722209398386592,1,0,0,0,0,0,0,0,0,0
AAPL_2026-01-29,AAPL,Apple Inc.,Q1,2026,2026-01-29,2026-01-29 22:00:00+00:00,0.002576775842627001,0.005070303556412225,0.0002695262130557179,0.03234318234426572,0.02657835150451734,0.029506840890716403,160122.73333333334,14956.85,0.09340866027351519,0.023406902961039602,-0.0020430591305656953,24.0,9175,3288,5887,0.6416348773841962,61,22,15,212,20,101,0.020926430517711172,0.01100817438692098,1,0.364648294328361,-0.01142457244889635,0.7923369466601733,0.28854836789804544,0.03506157954805706,-0.005625969596255139,0.012588394337924243,-0.03562013953683854,-0.07740869426814606,0.0022662086290034227,-0.005078419817948078,0.0016205745869976433,0.02112777303966989,0.038783996300437315,0.04188078643281371,0.02975016465304795,0.003531759028571167,-0.08336317117196028,-0.12116528050162391,-0.1814843429455834,1.7588539596744461,0.16305666852078163,0.01756677562896087,0.11087156357157676,-0.4631319816601009,0.6832349327486641,0.2736459246855002,-0.20717309216088658,0.2769874160672597,-0.45214967975419884,0.06870532551127878,0.8374373865609448,-0.6331463663520734,0.5347234791135371,0.041400806664316635,0.8561970706211511,0.08556854048276769,2.931703919353034,1.7929028807589282,1.1214296958515242,0.21645902671321227,0.3635712027865687,0.6495670403397763,0.025639051705021027,0.2952209194572866,-1.2496794388110832,-0.11218991307259187,2.7871264356023993,1.0633844014241374,0.13312044217087263,-0.09742463605402821,0.08665333749887857,-0.19225462433703797,-0.3158689918411566,0.019874626880713953,-0.049414095469390566,0.012649378492671929,0.21609642182942182,0.39542244583916375,0.46889904361316637,0.3429985917222863,0.04253543630665962,-1.0205922882074787,-1.4983248849737478,-2.2524073291483684,1,0,0,0,0,0,0,0,0,0
AMD_2025-02-04,AMD,"Advanced Micro Devices, Inc.",Q4,2024,2025-02-04,2025-02-04 22:00:00+00:00,-0.00017447439632499716,-0.016357765140880342,-0.049990290872278326,0.06420914940945728,0.026571760216632417,0.042860076092832544,80494.68333333333,20582.766666666666,0.2557034305164254,0.004612514160899588,-0.07196308420610284,69.0,9242,3636,5606,0.606578662627137,26,16,11,270,11,99,0.02802423717809998,0.010711967106686864,1,0.49638187902287867,0.3870453876287598,-0.07713245744890102,-0.01306589519077182,-0.32238694060149625,-0.4304560346788868,0.21859842041398433,0.02009530318721135,-0.033426575379232076,-0.24223193494541748,0.05275216536545524,0.006887210753631842,0.04505441188456488,0.010607714073620315,-0.03842614376338588,0.0012001294909612767,0.14406989573142354,-0.03841081541661265,0.05252555304114299,0.03782843152679251,-2.064741604834917,-0.25028567492712683,-0.7707777493040623,-1.5615678908846278,0.8789687761993525,0.6825036384623405,1.512902820286103,-0.3219416196239646,0.8639028751881638,0.0870142867613999,-0.70106636946384,-2.5960019526821667,0.8611676101781696,0.5885202133026882,0.3226870370271094,0.464826122180276,-0.2020621342906649,-0.20620547444990764,0.7214469759229153,-0.6586174404207367,1.0931785483170053,-0.7805339808075288,0.5479133564055391,1.2512391434729964,0.14724192462916325,0.7979821505899768,1.277317496592998,-0.347097918386686,-0.06952968287805969,-1.2365526562786668,-1.7924320137789824,0.9173216122679272,0.036190941467312485,-0.12957970905768867,-1.0313345249781607,0.4840064735952655,0.06329320579296438,0.46291016349195596,0.1020812170621234,-0.41531218590254515,0.011409041977326909,1.731910725986668,-0.4730916904624044,0.6529734224477413,0.4773746461944887,0,1,0,0,0,0,0,0,0,0
AMD_2025-05-06,AMD,"Advanced Micro Devices, Inc.",Q1,2025,2025-05-06,2025-05-06 21:00:00+00:00,0.0010657366701686474,-0.05161987165659308,-0.02911299236237954,0.052138081192657636,0.043342976996951256,0.053617488899729,60695.166666666664,14224.333333333334,0.23435693671379657,0.002420488183739723,-0.06301454403806098,38.0,9804,3753,6051,0.6171970624235006,44,20,14,264,17,95,0.025193798449612403,0.009689922480620155,1,0.488341674347461,0.40542166709709254,-0.06858505139032478,-0.014194273057654664,-0.3315608003048563,-0.45138960049243687,0.21928639551753695,0.03451656497655168,-0.04743231360023222,-0.2644564187035134,0.018579155337013698,-0.00026369413768126675,-0.014296846289132343,-0.06824550779960589,-0.0900183302565743,0.0029677674569523788,-0.011606771048115786,-0.039601162749787054,0.026641355668121324,0.06655663027876373,-0.15294382258023542,-0.06395884018970079,-2.06808032015029,-0.8668574889121731,0.3705709055558314,2.5432469742513466,2.5112524934541467,-0.3504788169095192,0.2005686951363807,0.016098506464845383,-0.7908463335696837,-2.1565817750068934,-0.16824868476488672,1.0397704314266119,0.41725740758011726,1.0846128554763237,-0.11493985027889429,1.4075764995058906,1.4357509124802572,0.6764179117834589,1.002483425392475,-0.017797191744797144,0.3446059885370645,0.7624985886284129,-0.36335030765931575,0.6730055296094295,1.3413975504027202,-0.3162866119673715,-0.07376806061495737,-1.2717050995994152,-1.8759537590894435,0.9200956476060962,0.09532128573103012,-0.18890197442268836,-1.126887727879017,0.1687997988190457,-0.005469697300818135,-0.14932401604282378,-0.7188539514288336,-0.9833626709739424,0.03193897386453674,-0.13944120884914224,-0.4875896153316636,0.3323771718469037,0.8349539952582434,0,1,0,0,0,0,0,0,0,0
AMD_2025-08-05,AMD,"Advanced Micro Devices, Inc.",Q2,2025,2025-08-05,2025-08-05 21:00:00+00:00,0.0022102096748701366,0.03195611311408964,-0.004795597249628122,0.04650645606907096,0.01678736845814096,0.027408198294245484,76782.43333333333,19500.816666666666,0.2539749760470385,0.042442496369898615,-0.01088307046778204,26.0,9717,3739,5978,0.6152104559020274,38,18,13,255,21,120,0.024081506637851188,0.01234949058351343,1,0.4875237698861128,0.39504751975213975,-0.07112129484904821,-0.0009192032399877985,-0.3322710591361239,-0.4515827215906097,0.21665784818242836,0.03868607460394357,-0.04742105346750687,-0.2518812435816636,-0.012356561528130788,-0.0073495451005721295,-0.030935676407955016,-0.0372058557961849,-0.04378935526891523,0.011764441384565083,-0.09705023280393589,-0.017375342298089597,-0.026690936000996382,0.040587497248800106,-0.15294382258023542,0.10798449927053663,1.006703083833207,-0.057674858041966634,0.13338342805410064,-0.40306111201700606,0.0788798421809707,-0.3272921144065796,0.7510300371032539,0.08127214013362234,0.8483561648663441,0.40334654274669085,-0.5667324118396182,0.9699149706138337,0.40594129486437275,0.982939975632253,-0.13123964129285637,0.8696491748539579,1.0785989442015862,0.2314061277153937,0.8664407410056796,0.49069400096369065,1.6152770377150305,0.5704357427671484,0.9653145861678144,0.6602920552650833,1.3052217879889982,-0.325429148758671,-0.0239046575632885,-1.274426673082826,-1.8767242829132074,0.9094968873341214,0.11241719198944115,-0.18885428135781465,-1.0728213084736982,-0.11654657355977388,-0.07360704362326072,-0.3209608240849236,-0.3957023877768596,-0.474363276859093,0.1341064538816482,-1.1665366033198992,-0.2168885635579432,-0.3281854292902017,0.5117166852975111,0,1,0,0,0,0,0,0,0,0
AMD_2025-11-04,AMD,"Advanced Micro Devices, Inc.",Q3,2025,2025-11-04,2025-11-04 22:00:00+00:00,0.00036460127204108106,-0.01935135150270795,-0.024694638524352434,0.046609389280591565,0.017486997900122866,0.025949080625907072,85962.6,6390.233333333334,0.07433736687039867,0.00485045413374948,-0.025816623308262877,94.0,9003,3264,5739,0.6374541819393535,40,21,14,227,6,77,0.02454737309785627,0.00855270465400422,1,0.4674765198697532,0.39548384718009266,-0.08232417218023944,-0.003859010575541824,-0.3323069940908096,-0.4590534208528997,0.22014962666854715,0.029122609696289315,-0.051954017844300454,-0.2562935492072802,-0.053723069061127095,-0.008286504967502507,-0.012632878457970183,0.049565784148058074,0.10029079107366079,-0.031093531105390607,-0.012177043058752744,0.0676836753318926,-0.04149689470740094,-0.06923276298245078,-0.15294382258023542,-0.1692960226943079,-0.8809126126741403,-0.7198328933009649,0.1377186720122737,-0.32543819182332506,-0.05653465510089354,-0.3140606688268001,-0.6167122335950691,-0.5155069535740325,-0.6913209364970797,-0.3299690952522951,1.69134204158386,0.39661843015034337,0.022001756294468856,0.6500657525811173,0.051266598297747004,1.048958283071269,1.6143268966195927,0.6764179117834589,0.4431968340245381,-1.4161479716931384,-0.5702771668710711,0.6508783362968195,-0.9314806748475909,0.3486784001230648,1.3067433084420401,-0.3658127790511603,-0.03494707015172538,-1.2745643688290733,-1.9065312372865588,0.9235763458254721,0.0732048830664058,-0.20805396304592755,-1.0917918249227718,-0.4981049810787224,-0.08261682371567444,-0.13215946029065426,0.5076708564057029,1.1120164170866942,-0.3636602115618414,-0.14629631213831698,0.8190941388721519,-0.5115689346551975,-0.8552140264585923,0,1,0,0,0,0,0,0,0,0
AMD_2026-02-03,AMD,"Advanced Micro Devices, Inc.",Q4,2025,2026-02-03,2026-02-03 22:00:00+00:00,-0.0031060680745444076,-0.019361560956583184,-0.02934217505608204,0.04237451195700427,0.020101387489117366,0.0275216703042403,82077.91666666667,9079.441666666668,0.11061978709254926,0.004619348432865107,-0.034121479883565495,64.0,9025,3241,5784,0.6408864265927978,45,19,15,280,19,103,0.0289196675900277,0.011412742382271468,1,0.4831967402821011,0.41224130116233704,-0.0728572204674863,-0.012778149320401395,-0.34474352364731364,-0.44365258159218623,0.23145537304795166,0.022996164041636184,-0.0363975610783066,-0.25569814493172477,-0.019823313069838186,-0.020992697647925777,0.015371946351775474,0.04309995011241163,0.06573007853563023,0.0027298542611701826,-0.015302869187031587,0.03649282813645824,-0.011743352462032864,-0.08110839076940085,-0.15294382258023542,-0.6907224566623511,-0.8812882212825873,-0.8744837438700022,-0.04064189849232504,-0.03537527816601367,0.08941069621860895,-0.31965969311317943,-0.33616454027751874,-0.3949721170387497,-0.7007864545822888,-0.7377810381343362,0.6951327238970315,0.41428302943633327,0.0034109996900314053,0.7127408154986952,0.07942762060147097,1.4972310536145461,1.2571749283409217,1.1214296958515242,1.244337086524556,0.23644840460944674,0.7512207242740137,1.4058558648828654,0.49733467319175195,0.5930328795819608,1.3651783444756744,-0.33168673565512685,-0.06844886081777651,-1.322218727460882,-1.8450842298460943,0.9691630826403543,0.04808510880779238,-0.1421635228670783,-1.0892319100932784,-0.18541876020306255,-0.2047992201052921,0.1567225527954352,0.44035552765449726,0.7314892315557345,0.029175771331862985,-0.1838711195524474,0.4392028696221733,-0.1430477883939378,-1.0030297419666754,0,1,0,0,0,0,0,0,0,0
