event_id,n_ticks,coverage_pct,pre_return,post_return_5m,post_return_30m,post_return_120m,realized_vol_pre,realized_vol_post_30m,realized_vol_post_120m,volume_pre_mean,volume_post_mean,volume_ratio
AAPL_2025-01-30,8986,83.2037037037037,-0.01522538370299546,0.0029869874992763906,0.05572576415567228,0.04495702323663836,0.03938310407347045,0.03205116255973022,0.03790392008482766,1500.4372222222223,191.70731368186875,0.12776763388870124
AAPL_2025-05-01,8545,79.12037037037038,-0.023923334352662366,-0.002313142566744349,-0.0012522879971977906,-0.015767458252701098,0.039615767589724425,0.024079892334244336,0.02733047835154082,2119.54,113.56625,0.053580611830868964
AAPL_2025-07-31,9525,88.19444444444444,0.011240103989090262,-0.0025239911487253764,0.017678716168793993,0.009467526338399364,0.036099270706757926,0.020210101403077475,0.02626086408141165,3918.4266666666667,271.3434764485202,0.0692480680464915
AAPL_2025-10-30,9666,89.5,0.03963130065312056,0.0001769253910243214,-0.0013810934079045139,-0.017564352731005352,0.05783474628601385,0.011965698218427799,0.01744784681140576,2871.108888888889,126.08902777777777,0.04391649103443578
AAPL_2026-01-29,9263,85.76851851851852,0.009667120673490822,-0.00015332720054554627,-0.002456060794071464,-0.0044175621633458706,0.03698458805387721,0.03843517351910346,0.04042132654753663,2668.7122222222224,249.5234255526206,0.0934995626260683
AMD_2025-02-04,10344,95.77777777777777,-0.04925416347548758,0.008393858848847507,-0.007845251573919155,-0.043426577638621754,0.06017880683052956,0.02928963478221143,0.048699100341846734,1341.5780555555555,343.093763022642,0.25573894981501083
AMD_2025-05-06,9065,83.93518518518519,0.04471624753199744,0.0027113408689060374,-0.035732186700906776,-0.028822139677213088,0.052695205423386786,0.031424395330022545,0.04433428652625426,1011.5861111111111,237.69948475142738,0.23497701494768627
AMD_2025-08-05,10494,97.16666666666667,-0.0422428876254261,0.0026893785819714646,0.03608548074507798,-0.004077722129064288,0.06230250868520201,0.020032704612663016,0.03141992415952286,1279.7072222222223,325.0587581608557,0.2540102552491565
AMD_2025-11-04,9760,90.37037037037037,-0.01404704025619379,0.004004778718696819,-0.015975498591273736,-0.024329904269736555,0.06435896354163541,0.01941526793857036,0.0322982024173122,1432.71,106.57790132036136,0.0743890259161738
AMD_2026-02-03,10269,95.08333333333333,-0.056194319594886126,-0.001749169590635264,-0.011513068243534114,-0.02908006330760652,0.06540598990181161,0.02692710124147682,0.03388457423747072,1367.9652777777778,151.45023630803448,0.11071204713182578
AMZN_2025-02-06,8954,82.9074074074074,-0.024510407340890196,-0.004992263768260904,-0.028256739672282923,-0.017058906120266136,0.05583397819608606,0.02234386882151547,0.029654373319084597,1629.268611111111,176.29166666666666,0.10820294791442717
AMZN_2025-05-01,8378,77.57407407407408,-0.042566486302826015,0.0033478805178525236,0.029788284280245318,0.0213213776890897,0.05769908756757578,0.01513272273665,0.024714766632249606,2020.3622222222223,138.042433609667,0.06832558641778223
AMZN_2025-07-31,10374,96.05555555555556,-0.022230331659081774,0.003616325314459769,-0.01433180551421591,-0.04358114448611546,0.05935345729598638,0.012056772926794341,0.031732971964116966,3109.3641666666667,334.9236111111111,0.10771450147319328
AMZN_2025-10-30,10528,97.48148148148148,0.1115963609933799,0.0008023750731369923,0.01758409471385712,0.00914890223202891,0.046489483676213604,0.016737274796750252,0.021670817633762475,3825.3063888888887,406.1624062239511,0.10617774497846862
AMZN_2026-02-05,10541,97.60185185185185,-0.10213771581978165,0.007591769908212663,0.004373547053890006,-0.013589959172330461,0.08729474251645847,0.0238843954715171,0.0331933135018296,3891.573611111111,344.82458333333335,0.08860800740060523
AVGO_2024-12-12,9878,91.46296296296296,0.020683600129148254,0.00048728986589181465,0.08045504532143205,0.11642820548030468,0.0730644404373419,0.035802177756088786,0.053909064113858166,1237.611111111111,214.3014174541412,0.17315731535550305
AVGO_2025-03-06,8977,83.12037037037037,0.0866862568084142,0.00183786043154962,0.05618422687523165,0.025328027656136353,0.07796568020714167,0.04393210661123928,0.05309765580939692,1486.32,115.31786607390941,0.07758616319090736
AVGO_2025-06-05,7644,70.77777777777777,-0.040873291697639175,0.005913866832236048,0.0103264279065089,0.0017218255600314016,0.049613561840559865,0.0348489898114764,0.04034870255030297,1199.1380555555556,81.71974433791858,0.06814873730286057
AVGO_2025-09-04,8084,74.85185185185185,0.0010783786153611594,-0.0002613183525681824,0.041738681817814746,0.038821169984112135,0.04839240139566271,0.022856698412837096,0.025415985175971708,732.4047222222222,106.12171738224261,0.14489491146405217
AVGO_2025-12-11,9294,86.05555555555556,0.028506586196530917,0.0028850415213994263,-0.056282343967891474,-0.08207437852475304,0.048230788172338744,0.03686260915546229,0.0438842952719005,1227.731388888889,134.07786429365962,0.10920781655261061
GOOGL_2025-02-04,9701,89.82407407407408,-0.06894417295520258,5.217436674537825e-05,-0.0014619885644993884,-0.009436010461963646,0.05378158539615705,0.011664832320427842,0.022423518992162023,1795.0283333333334,188.11055555555555,0.1047953127326062
GOOGL_2025-04-24,9253,85.67592592592592,0.046689329383717115,-0.0006630700384593678,-6.026092984430311e-05,0.006606630636782008,0.052224604751268805,0.017922258179178762,0.02752703543958377,2593.2066666666665,157.9018131101813,0.060890562692078015
GOOGL_2025-07-23,9601,88.89814814814815,-0.017563801236114247,0.013886167586027431,0.028723700121092502,0.033122041019382,0.038560928412380895,0.02180711005615642,0.028600366370733772,2214.755,338.51382136407835,0.1528448164081708
