ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-10-29 20:30:00+00:00,32,2,7152,292.3,292.3,292.3,292.3,95,GOOGL
2025-10-29 20:30:01+00:00,32,2,7152,292.23,292.42,292.2,292.23,391,GOOGL
2025-10-29 20:30:02+00:00,32,2,7152,292.23,292.23,292.21,292.21,44,GOOGL
2025-10-29 20:30:03+00:00,32,2,7152,292.53,292.59,292.52,292.52,153,GOOGL
2025-10-29 20:30:04+00:00,32,2,7152,292.42,292.59,292.42,292.5,177,GOOGL
2025-10-29 20:30:05+00:00,32,2,7152,292.59,292.7,292.59,292.7,480,GOOGL
2025-10-29 20:30:06+00:00,32,2,7152,292.73,292.73,292.65,292.65,150,GOOGL
2025-10-29 20:30:07+00:00,32,2,7152,292.75,292.75,292.68,292.68,30,GOOGL
2025-10-29 20:30:08+00:00,32,2,7152,292.68,292.79,292.68,292.79,118,GOOGL
2025-10-29 20:30:09+00:00,32,2,7152,292.8,292.9,292.8,292.9,663,GOOGL
2025-10-29 20:30:10+00:00,32,2,7152,292.83,292.83,292.78,292.78,172,GOOGL
2025-10-29 20:30:12+00:00,32,2,7152,292.85,292.85,292.85,292.85,5,GOOGL
2025-10-29 20:30:13+00:00,32,2,7152,292.81,292.93,292.8,292.82,1498,GOOGL
2025-10-29 20:30:14+00:00,32,2,7152,292.86,292.96,292.86,292.95,1298,GOOGL
2025-10-29 20:30:15+00:00,32,2,7152,292.95,292.99,292.95,292.99,1667,GOOGL
2025-10-29 20:30:16+00:00,32,2,7152,292.95,292.95,292.95,292.95,22,GOOGL
2025-10-29 20:30:17+00:00,32,2,7152,292.95,292.96,292.95,292.95,2357,GOOGL
2025-10-29 20:30:18+00:00,32,2,7152,292.95,292.96,292.9,292.9,2364,GOOGL
2025-10-29 20:30:20+00:00,32,2,7152,292.84,292.84,292.8,292.8,490,GOOGL
2025-10-29 20:30:21+00:00,32,2,7152,292.8,293.23,292.8,293.23,5789,GOOGL
2025-10-29 20:30:22+00:00,32,2,7152,293.28,293.45,293.28,293.45,855,GOOGL
2025-10-29 20:30:23+00:00,32,2,7152,293.43,293.43,293.43,293.43,250,GOOGL
2025-10-29 20:30:24+00:00,32,2,7152,293.36,293.45,293.36,293.44,492,GOOGL
2025-10-29 20:30:25+00:00,32,2,7152,293.31,293.31,293.28,293.28,200,GOOGL
2025-10-29 20:30:26+00:00,32,2,7152,293.34,293.34,293.29,293.29,70,GOOGL
2025-10-29 20:30:27+00:00,32,2,7152,293.39,293.39,293.39,293.39,100,GOOGL
2025-10-29 20:30:28+00:00,32,2,7152,293.29,293.29,293.29,293.29,41,GOOGL
2025-10-29 20:30:29+00:00,32,2,7152,293.39,293.44,293.29,293.43,1094,GOOGL
2025-10-29 20:30:30+00:00,32,2,7152,293.41,293.44,293.39,293.4,1762,GOOGL
2025-10-29 20:30:31+00:00,32,2,7152,293.4,293.53,293.24,293.24,2859,GOOGL
2025-10-29 20:30:34+00:00,32,2,7152,293.36,293.37,293.36,293.37,44,GOOGL
2025-10-29 20:30:35+00:00,32,2,7152,293.45,293.45,293.45,293.45,100,GOOGL
2025-10-29 20:30:36+00:00,32,2,7152,293.39,293.39,293.39,293.39,1,GOOGL
2025-10-29 20:30:37+00:00,32,2,7152,293.5,293.5,293.5,293.5,2,GOOGL
2025-10-29 20:30:38+00:00,32,2,7152,293.54,293.55,293.52,293.52,183,GOOGL
2025-10-29 20:30:43+00:00,32,2,7152,293.49,293.56,293.38,293.56,644,GOOGL
2025-10-29 20:30:44+00:00,32,2,7152,293.55,293.55,293.55,293.55,7,GOOGL
2025-10-29 20:30:45+00:00,32,2,7152,293.55,293.55,293.49,293.5,490,GOOGL
2025-10-29 20:30:46+00:00,32,2,7152,293.28,293.28,293.07,293.14,499,GOOGL
2025-10-29 20:30:47+00:00,32,2,7152,293.07,293.07,292.66,292.72,734,GOOGL
2025-10-29 20:30:52+00:00,32,2,7152,292.62,292.62,292.58,292.58,229,GOOGL
2025-10-29 20:30:53+00:00,32,2,7152,292.5,292.56,292.37,292.56,612,GOOGL
2025-10-29 20:30:54+00:00,32,2,7152,292.43,292.43,292.0,292.0,745,GOOGL
2025-10-29 20:30:55+00:00,32,2,7152,292.08,292.14,292.08,292.14,26,GOOGL
2025-10-29 20:30:56+00:00,32,2,7152,292.03,292.12,291.56,291.56,1393,GOOGL
2025-10-29 20:30:57+00:00,32,2,7152,291.44,291.51,291.29,291.49,393,GOOGL
2025-10-29 20:30:58+00:00,32,2,7152,291.5,291.5,291.5,291.5,13,GOOGL
2025-10-29 20:30:59+00:00,32,2,7152,291.52,291.53,291.52,291.53,75,GOOGL
2025-10-29 20:31:01+00:00,32,2,7152,291.5,291.54,291.5,291.54,102,GOOGL
2025-10-29 20:31:02+00:00,32,2,7152,291.54,291.69,291.54,291.65,360,GOOGL
2025-10-29 20:31:04+00:00,32,2,7152,291.54,291.54,291.49,291.49,219,GOOGL
2025-10-29 20:31:06+00:00,32,2,7152,291.51,291.51,291.47,291.47,63,GOOGL
2025-10-29 20:31:07+00:00,32,2,7152,291.46,291.46,291.45,291.45,150,GOOGL
2025-10-29 20:31:11+00:00,32,2,7152,291.51,291.58,291.51,291.58,160,GOOGL
2025-10-29 20:31:15+00:00,32,2,7152,291.42,291.42,291.39,291.39,50,GOOGL
2025-10-29 20:31:16+00:00,32,2,7152,291.29,291.29,291.0,291.0,1354,GOOGL
2025-10-29 20:31:17+00:00,32,2,7152,290.94,290.94,290.79,290.93,367,GOOGL
2025-10-29 20:31:18+00:00,32,2,7152,290.94,290.94,290.94,290.94,30,GOOGL
2025-10-29 20:31:19+00:00,32,2,7152,290.83,290.83,290.79,290.82,213,GOOGL
2025-10-29 20:31:20+00:00,32,2,7152,290.76,290.76,290.69,290.69,11,GOOGL
2025-10-29 20:31:21+00:00,32,2,7152,290.81,290.82,290.81,290.82,150,GOOGL
2025-10-29 20:31:22+00:00,32,2,7152,290.88,291.12,290.88,291.0,484,GOOGL
2025-10-29 20:31:24+00:00,32,2,7152,290.94,290.94,290.94,290.94,1,GOOGL
2025-10-29 20:31:28+00:00,32,2,7152,290.91,290.91,290.91,290.91,10,GOOGL
2025-10-29 20:31:29+00:00,32,2,7152,290.91,290.91,290.91,290.91,50,GOOGL
2025-10-29 20:31:33+00:00,32,2,7152,290.93,290.93,290.93,290.93,1,GOOGL
2025-10-29 20:31:36+00:00,32,2,7152,290.84,291.0,290.84,291.0,804,GOOGL
2025-10-29 20:31:37+00:00,32,2,7152,291.11,291.11,291.11,291.11,80,GOOGL
2025-10-29 20:31:38+00:00,32,2,7152,291.03,291.03,291.03,291.03,65,GOOGL
2025-10-29 20:31:40+00:00,32,2,7152,291.03,291.11,291.02,291.11,149,GOOGL
2025-10-29 20:31:41+00:00,32,2,7152,291.03,291.03,291.0,291.0,250,GOOGL
2025-10-29 20:31:43+00:00,32,2,7152,290.88,290.88,290.41,290.41,1374,GOOGL
2025-10-29 20:31:44+00:00,32,2,7152,290.41,290.41,290.26,290.26,13,GOOGL
2025-10-29 20:31:45+00:00,32,2,7152,290.4,290.9,290.4,290.9,3330,GOOGL
2025-10-29 20:31:47+00:00,32,2,7152,290.61,290.61,290.61,290.61,13,GOOGL
2025-10-29 20:31:48+00:00,32,2,7152,290.65,290.65,290.65,290.65,25,GOOGL
2025-10-29 20:31:49+00:00,32,2,7152,290.64,290.73,290.64,290.73,160,GOOGL
2025-10-29 20:31:50+00:00,32,2,7152,290.6,290.6,290.6,290.6,25,GOOGL
2025-10-29 20:31:52+00:00,32,2,7152,290.6,290.6,290.6,290.6,25,GOOGL
2025-10-29 20:31:53+00:00,32,2,7152,290.68,290.73,290.68,290.73,195,GOOGL
2025-10-29 20:31:54+00:00,32,2,7152,290.61,290.61,290.59,290.59,100,GOOGL
2025-10-29 20:31:55+00:00,32,2,7152,290.61,290.61,290.59,290.59,56,GOOGL
2025-10-29 20:31:56+00:00,32,2,7152,290.55,290.55,290.55,290.55,2,GOOGL
2025-10-29 20:31:57+00:00,32,2,7152,290.55,290.55,290.55,290.55,92,GOOGL
2025-10-29 20:31:58+00:00,32,2,7152,290.54,290.54,290.54,290.54,100,GOOGL
2025-10-29 20:32:03+00:00,32,2,7152,290.54,291.3,290.54,291.21,1913,GOOGL
2025-10-29 20:32:07+00:00,32,2,7152,291.04,291.04,291.04,291.04,5,GOOGL
2025-10-29 20:32:09+00:00,32,2,7152,291.19,291.24,291.19,291.24,40,GOOGL
2025-10-29 20:32:10+00:00,32,2,7152,291.2,291.24,291.08,291.08,48,GOOGL
2025-10-29 20:32:11+00:00,32,2,7152,291.08,291.08,291.08,291.08,10,GOOGL
2025-10-29 20:32:12+00:00,32,2,7152,291.07,291.07,291.07,291.07,3,GOOGL
2025-10-29 20:32:13+00:00,32,2,7152,291.08,291.08,290.99,290.99,1055,GOOGL
2025-10-29 20:32:14+00:00,32,2,7152,290.99,290.99,290.76,290.76,863,GOOGL
2025-10-29 20:32:16+00:00,32,2,7152,290.65,290.76,290.65,290.76,66,GOOGL
2025-10-29 20:32:20+00:00,32,2,7152,290.7,290.7,290.7,290.7,50,GOOGL
2025-10-29 20:32:23+00:00,32,2,7152,290.52,290.52,290.4,290.4,200,GOOGL
2025-10-29 20:32:25+00:00,32,2,7152,290.67,290.82,290.67,290.82,182,GOOGL
2025-10-29 20:32:27+00:00,32,2,7152,290.6,290.6,290.6,290.6,250,GOOGL
2025-10-29 20:32:28+00:00,32,2,7152,290.6,290.6,290.6,290.6,25,GOOGL
2025-10-29 20:32:30+00:00,32,2,7152,290.6,290.6,290.6,290.6,482,GOOGL
2025-10-29 20:32:32+00:00,32,2,7152,290.55,290.71,290.55,290.71,5,GOOGL
2025-10-29 20:32:34+00:00,32,2,7152,290.54,290.54,290.54,290.54,2,GOOGL
2025-10-29 20:32:38+00:00,32,2,7152,290.54,290.54,290.49,290.49,198,GOOGL
2025-10-29 20:32:39+00:00,32,2,7152,290.57,290.57,290.57,290.57,1,GOOGL
2025-10-29 20:32:40+00:00,32,2,7152,290.47,290.47,290.42,290.45,341,GOOGL
2025-10-29 20:32:41+00:00,32,2,7152,290.25,290.25,290.24,290.24,88,GOOGL
2025-10-29 20:32:42+00:00,32,2,7152,290.41,290.5,290.41,290.5,584,GOOGL
2025-10-29 20:32:44+00:00,32,2,7152,290.64,290.64,290.52,290.52,2244,GOOGL
2025-10-29 20:32:45+00:00,32,2,7152,290.52,290.52,290.52,290.52,75,GOOGL
2025-10-29 20:32:47+00:00,32,2,7152,290.43,290.43,290.33,290.33,2000,GOOGL
2025-10-29 20:32:49+00:00,32,2,7152,290.4,290.4,290.34,290.36,502,GOOGL
2025-10-29 20:32:54+00:00,32,2,7152,290.42,290.42,290.36,290.36,61,GOOGL
2025-10-29 20:32:56+00:00,32,2,7152,290.36,290.36,290.36,290.36,5,GOOGL
2025-10-29 20:33:01+00:00,32,2,7152,290.57,290.57,290.57,290.57,1,GOOGL
2025-10-29 20:33:03+00:00,32,2,7152,290.57,290.57,290.57,290.57,100,GOOGL
2025-10-29 20:33:05+00:00,32,2,7152,290.68,290.68,290.68,290.68,1,GOOGL
2025-10-29 20:33:06+00:00,32,2,7152,290.5,290.69,290.5,290.69,5,GOOGL
2025-10-29 20:33:07+00:00,32,2,7152,290.68,290.68,290.68,290.68,11,GOOGL
2025-10-29 20:33:08+00:00,32,2,7152,290.7,290.78,290.7,290.78,701,GOOGL
2025-10-29 20:33:09+00:00,32,2,7152,290.67,290.67,290.67,290.67,25,GOOGL
2025-10-29 20:33:12+00:00,32,2,7152,290.61,290.61,290.47,290.55,2025,GOOGL
2025-10-29 20:33:13+00:00,32,2,7152,290.44,290.49,290.44,290.49,158,GOOGL
2025-10-29 20:33:15+00:00,32,2,7152,290.28,290.28,290.28,290.28,107,GOOGL
2025-10-29 20:33:18+00:00,32,2,7152,290.41,290.43,290.41,290.43,45,GOOGL
2025-10-29 20:33:19+00:00,32,2,7152,290.35,290.35,290.3,290.3,25,GOOGL
2025-10-29 20:33:22+00:00,32,2,7152,290.32,290.32,290.24,290.24,557,GOOGL
2025-10-29 20:33:23+00:00,32,2,7152,290.24,290.24,290.24,290.24,300,GOOGL
2025-10-29 20:33:24+00:00,32,2,7152,290.24,290.24,290.24,290.24,50,GOOGL
2025-10-29 20:33:26+00:00,32,2,7152,290.24,290.24,290.24,290.24,349,GOOGL
2025-10-29 20:33:27+00:00,32,2,7152,290.24,290.24,290.16,290.24,1311,GOOGL
2025-10-29 20:33:29+00:00,32,2,7152,290.16,290.16,290.16,290.16,37,GOOGL
2025-10-29 20:33:30+00:00,32,2,7152,290.16,290.16,290.16,290.16,3,GOOGL
2025-10-29 20:33:31+00:00,32,2,7152,290.16,290.16,290.16,290.16,84,GOOGL
2025-10-29 20:33:33+00:00,32,2,7152,290.16,290.16,290.16,290.16,1167,GOOGL
2025-10-29 20:33:34+00:00,32,2,7152,290.16,290.18,290.16,290.16,303,GOOGL
2025-10-29 20:33:35+00:00,32,2,7152,290.18,290.24,290.18,290.24,519,GOOGL
2025-10-29 20:33:36+00:00,32,2,7152,290.24,290.24,290.16,290.16,363,GOOGL
2025-10-29 20:33:37+00:00,32,2,7152,290.16,290.16,290.16,290.16,495,GOOGL
2025-10-29 20:33:38+00:00,32,2,7152,290.17,290.17,290.17,290.17,25,GOOGL
2025-10-29 20:33:39+00:00,32,2,7152,290.02,290.02,290.01,290.01,266,GOOGL
2025-10-29 20:33:40+00:00,32,2,7152,290.02,290.08,289.5,289.71,3058,GOOGL
2025-10-29 20:33:41+00:00,32,2,7152,289.62,289.77,289.62,289.77,52,GOOGL
2025-10-29 20:33:42+00:00,32,2,7152,289.83,289.83,289.83,289.83,2,GOOGL
2025-10-29 20:33:43+00:00,32,2,7152,289.83,289.83,289.83,289.83,25,GOOGL
2025-10-29 20:33:44+00:00,32,2,7152,289.76,289.76,289.72,289.72,267,GOOGL
2025-10-29 20:33:46+00:00,32,2,7152,289.87,290.34,289.87,290.34,1012,GOOGL
2025-10-29 20:33:47+00:00,32,2,7152,290.34,290.34,290.34,290.34,66,GOOGL
2025-10-29 20:33:48+00:00,32,2,7152,290.26,290.34,290.16,290.16,32,GOOGL
2025-10-29 20:33:50+00:00,32,2,7152,290.34,290.34,290.34,290.34,4,GOOGL
2025-10-29 20:33:56+00:00,32,2,7152,290.29,290.29,290.29,290.29,17,GOOGL
2025-10-29 20:33:57+00:00,32,2,7152,290.17,290.17,290.17,290.17,194,GOOGL
2025-10-29 20:33:58+00:00,32,2,7152,290.1,290.1,290.1,290.1,5,GOOGL
2025-10-29 20:33:59+00:00,32,2,7152,290.1,290.13,290.1,290.13,100,GOOGL
2025-10-29 20:34:01+00:00,32,2,7152,290.08,290.08,290.08,290.08,18,GOOGL
2025-10-29 20:34:02+00:00,32,2,7152,290.0,290.0,289.95,290.0,504,GOOGL
2025-10-29 20:34:03+00:00,32,2,7152,289.87,289.87,289.87,289.87,81,GOOGL
2025-10-29 20:34:10+00:00,32,2,7152,289.66,289.66,289.65,289.65,497,GOOGL
2025-10-29 20:34:12+00:00,32,2,7152,289.76,289.8,289.76,289.8,13,GOOGL
2025-10-29 20:34:13+00:00,32,2,7152,289.71,289.86,289.66,289.86,570,GOOGL
2025-10-29 20:34:14+00:00,32,2,7152,289.66,289.66,289.66,289.66,1000,GOOGL
2025-10-29 20:34:16+00:00,32,2,7152,289.65,289.65,289.57,289.63,454,GOOGL
2025-10-29 20:34:19+00:00,32,2,7152,289.6,289.6,289.56,289.56,13,GOOGL
2025-10-29 20:34:20+00:00,32,2,7152,289.56,289.7,289.44,289.7,2620,GOOGL
2025-10-29 20:34:21+00:00,32,2,7152,289.55,289.55,289.55,289.55,10,GOOGL
2025-10-29 20:34:22+00:00,32,2,7152,289.43,289.43,289.36,289.36,657,GOOGL
2025-10-29 20:34:24+00:00,32,2,7152,289.44,289.55,289.43,289.43,856,GOOGL
2025-10-29 20:34:34+00:00,32,2,7152,289.46,289.47,289.46,289.47,110,GOOGL
2025-10-29 20:34:35+00:00,32,2,7152,289.51,289.52,289.51,289.52,110,GOOGL
2025-10-29 20:34:38+00:00,32,2,7152,289.4,289.4,289.38,289.38,284,GOOGL
2025-10-29 20:34:40+00:00,32,2,7152,289.38,289.6,289.36,289.36,1086,GOOGL
2025-10-29 20:34:42+00:00,32,2,7152,289.35,289.37,289.2,289.2,412,GOOGL
2025-10-29 20:34:43+00:00,32,2,7152,289.13,289.13,289.11,289.11,100,GOOGL
2025-10-29 20:34:44+00:00,32,2,7152,289.11,289.11,289.1,289.1,105,GOOGL
2025-10-29 20:34:45+00:00,32,2,7152,289.03,289.16,288.51,289.16,3851,GOOGL
2025-10-29 20:34:46+00:00,32,2,7152,289.15,289.15,289.15,289.15,107,GOOGL
2025-10-29 20:34:48+00:00,32,2,7152,289.12,289.26,289.0,289.0,2468,GOOGL
2025-10-29 20:34:50+00:00,32,2,7152,289.09,289.1,289.09,289.1,19,GOOGL
2025-10-29 20:34:54+00:00,32,2,7152,289.12,289.12,289.06,289.06,11,GOOGL
2025-10-29 20:34:56+00:00,32,2,7152,289.08,289.12,289.08,289.12,30,GOOGL
2025-10-29 20:34:59+00:00,32,2,7152,289.1,289.1,289.02,289.02,55,GOOGL
2025-10-29 20:35:00+00:00,32,2,7152,289.0,289.01,288.95,288.95,694,GOOGL
2025-10-29 20:35:01+00:00,32,2,7152,288.95,288.95,288.95,288.95,13,GOOGL
2025-10-29 20:35:02+00:00,32,2,7152,289.0,289.14,289.0,289.03,438,GOOGL
2025-10-29 20:35:03+00:00,32,2,7152,289.13,289.18,289.0,289.0,1936,GOOGL
2025-10-29 20:35:04+00:00,32,2,7152,289.0,289.0,288.89,288.9,249,GOOGL
2025-10-29 20:35:06+00:00,32,2,7152,289.07,289.12,289.07,289.12,2423,GOOGL
2025-10-29 20:35:07+00:00,32,2,7152,289.02,289.02,289.0,289.0,126,GOOGL
2025-10-29 20:35:08+00:00,32,2,7152,289.0,289.0,288.87,288.87,85,GOOGL
2025-10-29 20:35:09+00:00,32,2,7152,288.87,288.87,288.68,288.68,837,GOOGL
2025-10-29 20:35:12+00:00,32,2,7152,288.8,288.8,288.8,288.8,3,GOOGL
2025-10-29 20:35:14+00:00,32,2,7152,288.69,288.69,288.69,288.69,12,GOOGL
2025-10-29 20:35:17+00:00,32,2,7152,288.79,288.79,288.79,288.79,286,GOOGL
2025-10-29 20:35:18+00:00,32,2,7152,288.91,289.0,288.91,289.0,173,GOOGL
2025-10-29 20:35:19+00:00,32,2,7152,289.09,289.18,289.04,289.18,1002,GOOGL
2025-10-29 20:35:23+00:00,32,2,7152,289.0,289.0,288.99,288.99,300,GOOGL
2025-10-29 20:35:24+00:00,32,2,7152,288.99,288.99,288.92,288.92,27,GOOGL
2025-10-29 20:35:25+00:00,32,2,7152,288.82,288.82,288.8,288.8,141,GOOGL
2025-10-29 20:35:27+00:00,32,2,7152,288.82,288.82,288.82,288.82,50,GOOGL
2025-10-29 20:35:28+00:00,32,2,7152,288.82,288.82,288.82,288.82,100,GOOGL
2025-10-29 20:35:29+00:00,32,2,7152,288.82,288.91,288.42,288.74,1896,GOOGL
2025-10-29 20:35:30+00:00,32,2,7152,288.79,288.91,288.79,288.91,120,GOOGL
2025-10-29 20:35:31+00:00,32,2,7152,288.82,288.84,288.82,288.84,50,GOOGL
2025-10-29 20:35:32+00:00,32,2,7152,288.73,288.73,288.73,288.73,5,GOOGL
2025-10-29 20:35:34+00:00,32,2,7152,288.8,288.82,288.8,288.8,796,GOOGL
2025-10-29 20:35:35+00:00,32,2,7152,288.93,288.93,288.93,288.93,13,GOOGL
2025-10-29 20:35:36+00:00,32,2,7152,288.89,288.89,288.89,288.89,20,GOOGL
2025-10-29 20:35:38+00:00,32,2,7152,288.9,288.9,288.9,288.9,100,GOOGL
2025-10-29 20:35:39+00:00,32,2,7152,288.94,288.94,288.85,288.85,592,GOOGL
2025-10-29 20:35:40+00:00,32,2,7152,288.94,288.94,288.94,288.94,1,GOOGL
2025-10-29 20:35:41+00:00,32,2,7152,288.94,288.94,288.94,288.94,210,GOOGL
2025-10-29 20:35:42+00:00,32,2,7152,288.94,288.94,288.94,288.94,280,GOOGL
2025-10-29 20:35:43+00:00,32,2,7152,288.94,289.18,288.94,289.18,3086,GOOGL
2025-10-29 20:35:44+00:00,32,2,7152,289.26,289.47,289.26,289.36,222,GOOGL
2025-10-29 20:35:45+00:00,32,2,7152,289.32,289.82,289.32,289.56,707,GOOGL
2025-10-29 20:35:46+00:00,32,2,7152,289.42,289.42,289.42,289.42,2,GOOGL
2025-10-29 20:35:50+00:00,32,2,7152,289.42,289.42,289.42,289.42,50,GOOGL
2025-10-29 20:35:51+00:00,32,2,7152,289.44,289.76,289.44,289.76,610,GOOGL
2025-10-29 20:35:52+00:00,32,2,7152,289.64,289.65,289.56,289.65,183,GOOGL
2025-10-29 20:35:54+00:00,32,2,7152,289.54,289.54,289.54,289.54,10,GOOGL
2025-10-29 20:36:00+00:00,32,2,7152,289.68,289.68,289.63,289.63,480,GOOGL
2025-10-29 20:36:02+00:00,32,2,7152,289.54,289.54,289.28,289.45,1480,GOOGL
2025-10-29 20:36:03+00:00,32,2,7152,289.47,289.5,289.47,289.5,25,GOOGL
2025-10-29 20:36:05+00:00,32,2,7152,289.5,289.52,289.5,289.52,168,GOOGL
2025-10-29 20:36:07+00:00,32,2,7152,289.35,289.35,289.35,289.35,10,GOOGL
2025-10-29 20:36:09+00:00,32,2,7152,289.39,289.39,289.39,289.39,10,GOOGL
2025-10-29 20:36:13+00:00,32,2,7152,289.56,289.56,289.32,289.32,52,GOOGL
2025-10-29 20:36:14+00:00,32,2,7152,289.35,289.35,289.35,289.35,3,GOOGL
2025-10-29 20:36:15+00:00,32,2,7152,289.38,289.44,289.38,289.39,156,GOOGL
2025-10-29 20:36:17+00:00,32,2,7152,289.35,289.35,289.35,289.35,1,GOOGL
2025-10-29 20:36:19+00:00,32,2,7152,289.35,289.45,289.35,289.45,402,GOOGL
2025-10-29 20:36:24+00:00,32,2,7152,289.36,289.36,289.36,289.36,25,GOOGL
2025-10-29 20:36:25+00:00,32,2,7152,289.32,289.32,289.32,289.32,2,GOOGL
2025-10-29 20:36:26+00:00,32,2,7152,289.36,289.36,289.36,289.36,2,GOOGL
2025-10-29 20:36:29+00:00,32,2,7152,289.26,289.26,289.18,289.18,185,GOOGL
2025-10-29 20:36:32+00:00,32,2,7152,289.18,289.18,289.18,289.18,7,GOOGL
2025-10-29 20:36:33+00:00,32,2,7152,289.18,289.18,289.18,289.18,20,GOOGL
2025-10-29 20:36:34+00:00,32,2,7152,289.35,289.35,289.35,289.35,2,GOOGL
2025-10-29 20:36:37+00:00,32,2,7152,289.21,289.22,289.08,289.22,779,GOOGL
2025-10-29 20:36:41+00:00,32,2,7152,289.16,289.18,289.16,289.18,50,GOOGL
2025-10-29 20:36:42+00:00,32,2,7152,289.19,289.27,289.14,289.14,351,GOOGL
